Latitude,Longitude,Common Name,Scientific Name,Campus,DBH (in),Gross Carbon Sequestration (lb/yr),Carbon Storage (lb),Pollution Removal (oz/yr),Avoided Runoff (cuft/yr)
42.3406712466,-71.1654771415,Black Cherry,Prunus serotina,Brighton Campus,8,21.8,240.3,5.2,11.7
42.340652273,-71.1654650199,Yew,Taxus species,Brighton Campus,10,29.2,615.8,5.9,13.3
42.340616434,-71.1656183229,Eastern White Pine,Pinus strobus,Brighton Campus,30,56.8,2483.8,33.8,75.5
42.3406037849,-71.1656696616,Eastern White Pine,Pinus strobus,Brighton Campus,22,36.6,1189.0,25.3,56.6
42.3405168225,-71.1657217134,Austrian Pine,Pinus nigra,Brighton Campus,27,36.6,1944.2,21.1,47.1
42.3404851998,-71.1656803572,Austrian Pine,Pinus nigra,Brighton Campus,20,24.8,990.2,15.0,33.6
42.3404809835,-71.1656183229,Eastern White Pine,Pinus strobus,Brighton Campus,24,41.4,1462.0,28.0,62.6
42.3404493607,-71.1657359741,Norway Spruce,Picea abies,Brighton Campus,22,29.5,2068.3,33.5,74.7
42.3408066174,-71.1659314564,Littleleaf Linden,Tilia cordata,Brighton Campus,37,87.8,6517.9,24.0,53.5
42.3406785459,-71.1659378738,American Elm,Ulmus americana,Brighton Campus,3,3.9,16.0,0.7,1.6
42.3405989622,-71.1659499954,American Elm,Ulmus americana,Brighton Campus,3,3.9,16.0,0.7,1.6
42.3408914712,-71.1657852838,Littleleaf Linden,Tilia cordata,Brighton Campus,36,89.0,6110.1,22.7,50.8
42.34106803,-71.1657246756,American Elm,Ulmus americana,Brighton Campus,6,10.0,84.2,2.5,5.6
42.3412788458,-71.165580642,Yew,Taxus species,Brighton Campus,6,15.3,193.4,1.8,3.9
42.3417484356,-71.165827353,Black Oak,Quercus velutina,Brighton Campus,6,13.8,156.4,2.7,6.1
42.3417505438,-71.1658351964,Apple,Malus species,Brighton Campus,5,8.4,75.5,1.1,2.4
42.340884699,-71.1651113534,Eastern White Pine,Pinus strobus,Brighton Campus,39,70.1,4636.6,35.0,78.0
42.3409031454,-71.1653423775,American Elm,Ulmus americana,Brighton Campus,9,17.5,222.8,5.7,12.8
42.3408056426,-71.1656261663,Yew,Taxus species,Brighton Campus,17,14.9,2048.7,15.8,35.2
42.3404709696,-71.1654364985,Norway Maple,Acer platanoides,Brighton Campus,26,80.3,3733.3,28.0,62.5
42.340712883,-71.1650792668,Eastern White Pine,Pinus strobus,Brighton Campus,24,41.4,1462.0,28.0,62.6
42.340604312,-71.1653052996,Eastern White Pine,Pinus strobus,Brighton Campus,28,51.5,2108.4,32.4,72.2
42.3406749359,-71.1653031605,Eastern White Pine,Pinus strobus,Brighton Campus,27,48.9,1933.9,31.4,70.2
42.3406390969,-71.1651919267,Eastern White Pine,Pinus strobus,Brighton Campus,33,65.0,3115.0,35.1,78.3
42.3407439786,-71.1651313185,Eastern White Pine,Pinus strobus,Brighton Campus,32,62.2,2895.2,34.7,77.5
42.3414775391,-71.1653275137,Norway Maple,Acer platanoides,Brighton Campus,24,85.2,3110.9,25.0,55.8
42.3415745139,-71.1652847315,Douglas Fir,Pseudotsuga menziesii,Brighton Campus,26,28.3,1511.5,19.7,44.0
42.3410459736,-71.1649330941,Norway Maple,Acer platanoides,Brighton Campus,23,80.6,2823.3,23.6,52.6
42.3410001211,-71.1651434401,Common Sweetgum,Liquidambar styraciflua,Brighton Campus,6,6.8,56.5,2.2,4.9
42.3415049451,-71.165961404,Sugar Maple,Acer saccharum,Brighton Campus,23,50.2,3188.6,25.5,56.8
42.3413415634,-71.1659906385,Sugar Maple,Acer saccharum,Brighton Campus,30,70.0,5904.9,33.0,73.6
42.3411254774,-71.1659970559,Sugar Maple,Acer saccharum,Brighton Campus,32,75.5,6845.1,34.9,78.0
42.3411650054,-71.1652476536,Ginkgo,Ginkgo biloba,Brighton Campus,2,0.5,2.4,0.3,0.8
42.3415207562,-71.1657753012,Pin Oak,Quercus palustris,Brighton Campus,29,75.5,3781.4,52.9,118.1
42.3415402565,-71.1659514215,Sugar Maple,Acer saccharum,Brighton Campus,35,83.4,8386.8,36.8,82.1
42.3390582837,-71.1598245183,Northern Red Oak,Quercus rubra,Brighton Campus,15,36.1,997.2,18.4,41.0
42.3390461613,-71.1598074054,Eastern Redcedar,Juniperus virginiana,Brighton Campus,3,2.6,26.1,0.5,1.2
42.3414489542,-71.1611703932,Black Oak,Quercus velutina,Brighton Campus,27,107.0,5475.1,22.9,51.1
42.3423801321,-71.1613899204,Norway Maple,Acer platanoides,Brighton Campus,21,71.7,2294.4,20.5,45.7
42.3424349432,-71.1608656795,Norway Maple,Acer platanoides,Brighton Campus,16,50.5,1234.4,12.8,28.6
42.3424912767,-71.1608461106,Norway Maple,Acer platanoides,Brighton Campus,19,63.1,1826.2,17.4,38.7
42.341829474,-71.1612031929,Norway Maple,Acer platanoides,Brighton Campus,24,85.2,3110.9,25.0,55.8
42.3417108912,-71.1611946365,Norway Maple,Acer platanoides,Brighton Campus,26,80.3,3733.3,28.0,62.5
42.3417277563,-71.1613600611,Littleleaf Linden,Tilia cordata,Brighton Campus,31,72.7,4294.5,23.4,52.2
42.3424752902,-71.1612148301,Black Cherry,Prunus serotina,Brighton Campus,10,29.9,414.9,8.0,17.9
42.3425894796,-71.1610109014,Norway Maple,Acer platanoides,Brighton Campus,23,80.6,2823.3,23.6,52.6
42.3424768127,-71.1609563145,Norway Maple,Acer platanoides,Brighton Campus,27,76.9,4068.3,29.5,65.9
42.342715849,-71.1608461106,Norway Maple,Acer platanoides,Brighton Campus,31,56.6,5569.4,35.7,79.8
42.3425935808,-71.1607487924,White Mulberry,Morus alba,Brighton Campus,3,2.4,12.9,0.7,1.6
42.3426183511,-71.1607366707,White Mulberry,Morus alba,Brighton Campus,10,12.8,235.9,6.8,15.2
42.3430678462,-71.1596223154,Pin Oak,Quercus palustris,Brighton Campus,29,75.5,3781.4,52.9,118.1
42.3430952515,-71.1602497883,Norway Maple,Acer platanoides,Brighton Campus,19,63.1,1826.2,17.4,38.7
42.3431474853,-71.1597337472,Pin Oak,Quercus palustris,Brighton Campus,33,85.9,4895.0,66.0,147.2
42.3431269314,-71.159519123,Pin Oak,Quercus palustris,Brighton Campus,27,70.3,3278.5,46.8,104.4
42.3426628014,-71.1640885093,European Hornbeam,Carpinus betulus,Brighton Campus,3,5.1,34.1,1.1,2.5
42.3424509361,-71.1632578206,Norway Maple,Acer platanoides,Brighton Campus,16,50.5,1234.4,12.8,28.6
42.3424087738,-71.1633077333,Apple,Malus species,Brighton Campus,5,8.4,75.5,1.1,2.4
42.3425094363,-71.1633177158,Norway Maple,Acer platanoides,Brighton Campus,23,80.6,2823.3,23.6,52.6
42.3424108819,-71.1633519416,Black Oak,Quercus velutina,Brighton Campus,44,30.0,16534.7,36.4,81.2
42.3426401392,-71.1626253564,Norway Maple,Acer platanoides,Brighton Campus,28,72.8,4419.4,31.0,69.3
42.3427176122,-71.1625020009,White Mulberry,Morus alba,Brighton Campus,10,12.8,235.9,6.8,15.2
42.3427655716,-71.162579009,Norway Maple,Acer platanoides,Brighton Campus,32,49.8,5985.1,37.3,83.4
42.3425679364,-71.1633804631,Black Cherry,Prunus serotina,Brighton Campus,4,8.2,44.0,1.2,2.6
42.3426260245,-71.1645006844,Black Oak,Quercus velutina,Brighton Campus,24,91.3,4139.6,21.7,48.3
42.3425859704,-71.1643174338,White Oak,Quercus alba,Brighton Campus,26,59.7,4012.6,37.2,83.1
42.3427272137,-71.1642225998,Black Oak,Quercus velutina,Brighton Campus,28,112.3,5967.7,23.2,51.7
42.3425290514,-71.1644365111,Black Cherry,Prunus serotina,Brighton Campus,9,25.7,320.6,6.6,14.8
42.3425517136,-71.1645384754,Northern Red Oak,Quercus rubra,Brighton Campus,30,96.8,5372.0,25.2,56.2
42.3425696325,-71.164453624,White Oak,Quercus alba,Brighton Campus,8,10.4,216.5,5.9,13.2
