Tulip Tree,"A deciduous tree native to eastern North America. It is one of the largest trees native to eastern North America, reaching heights of 192 ft tall."
American Beech,"A deciduous tree native to the eastern US and southeast Canada. It is used for a variety of purposes, such as bentwood furniture and high-quality firewood."
Red Maple,"A deciduous tree native to eastern and central North America. Its leaves are extremely toxic to horses, as it damages red blood cells and inhibits oxygen transport."
Green Ash,A deciduous tree native to eastern and central North America. It is commonly used to make electric guitars as it has a bright sound with long sustain.
Paper Birch,"A deciduous tree native to northern North America. It is named for its thin white bark, which can peel in paper-like layers from the trunk, and is used for pulpwood."
Silver Maple,"A deciduous tree native to the eastern US and southeast Canada. It produces a sweet sap, but it isn't used commercially as its sugar content is lower than other maple species."
Red Pine,"An evergreen coniferous tree native to northeastern North America. It is a self-pruning tree, meaning it is rare to see dead branches on it."
Northern Catalpa,"A deciduous tree native to the midwest of the US. It can be grown in difficult growing regions, such as low or dry areas, and its flowers bloom from May to June."
Carolina Silverbell,"A deciduous tree native to the southeastern US. It is named for its flowers that resemble small, silver bells, and because it mostly grows in the Carolinas."
White Oak,"A deciduous tree native to eastern and central North America. Its name comes from the color of the finished wood, rather than the bark itself."
Norway Maple,"A deciduous tree native to eastern and central Europe and western Asia. Introduced to the northeastern US in the 1750-60s, it became invasive, starving other trees of moisture."
Northern Red Oak,A deciduous tree native to eastern and central North America. It is an important oak for timber use but is also the 4th most invasive species in Europe.
Eastern White Pine,An evergreen coniferous tree native to eastern North America. These trees are also known as mast pines due to their use in square rig boats.
Eastern Hemlock,"A coniferous tree native to eastern North America. It is an important food source for wild animals - rabbits and squirrels eat its bark, porcupines its twigs, and birds its needles and seed."
White Spruce,An evergreen coniferous tree native to northern North America. It is widely used as a Christmas tree.
Blue Spruce,An evergreen coniferous tree native to northern North America. It is widely used as a Christmas tree.
Eastern Redbud,"A deciduous tree native to eastern North America. You can go to the Redbud Festival in Denton, Texas every April to celebrate this tree."
Black Cherry,A deciduous tree native to the midwestern and eastern parts of North America. The inner bark of this tree is used in the manufacture of cough syrup.
Sugar Maple,A deciduous tree native to eastern Canada. It is a major source of sap for creating maple syrup in Canada due to its high sugar content.
Cherry Plum,A deciduous tree native to southeast Europe and western Asia. It grows cherry-like fruits after its flowers are pollinated by insects.
Japanese Zelkova,"A deciduous tree native to Japan, Korea, eastern China, and Taiwan. It is closely related to elm trees, but resistant to Dutch elm disease."
Flowering Crabapple,A deciduous tree native to temperate zones in the Northern Hemisphere. It can be used as rootstocks for domestic apples to add beneficial characteristics.
Eastern Redcedar,"An evergreen coniferous tree native to eastern North America. Due to its aroma, it is avoided by moths and so in demand for lining clothes chests and closets."
Austrian Pine,An evergreen coniferous tree native to southern Mediterranean Europe. It was introduced to the US in 1759 and has thrived here in some very harsh soil conditions.
Thornless Honeylocust,"A deciduous tree native to central North America. It derives its name from the sweet, honey-like substance found in its pods."
Fir Douglas,An evergreen coniferous tree native to western North America. It has commonly been grown on plantations to be used as Christmas trees since the 1920s.
White Fir,"An evergreen coniferous tree native to western North America. Like the Douglas Fir, it is a popular Christmas tree choice."
Pin Oak,"A deciduous tree native to eastern and central North America. Due to its tolerance to wet conditions, it is also known as the swamp oak or water oak."
Star Magnolia,"A deciduous tree native to Japan. It was introduced to the US in 1862 and the UK in 1877, mainly to give gardens a bit of color in early Spring."
American Sweetgum,A deciduous tree native to eastern North America and tropical regions of Central America. It was once used for soaps but is now used for fine furniture.
Common Sweetgum,A deciduous tree native to eastern North America and tropical regions of Central America. It was once used for soaps but is now used for fine furniture.
Colorado Spruce,"An evergreen coniferous tree native across North America. Its unique, year-round silvery blue-green color has made it very popular."
Shagbark Hickory,"A deciduous tree native to eastern North America. Its nuts are a popular food among people and squirrels alike, although they take a long time to produce."
Ginkgo Tree,"A deciduous tree native to China. It is the only living species in the Ginkgophyta division, all others being extinct. It is commonly used as street trees."
Ginkgo,"A deciduous tree native to China. It is the only living species in the Ginkgophyta division, all others being extinct. It is commonly used as street trees."
Japanese Maple,"A deciduous tree native to Japan, Korea, China, and southeast Russia. On the Chinese calendar, October is represented by this tree’s leaves."
Kousa Dogwood,"A deciduous tree native to East Asia. Kousa is the Japanese word for dogwood, but it is more resistant than the native flowering dogwood to disease and pests."
European Beech,"A deciduous tree native to Europe. Its beechnuts were food for prehistoric humans, and are still consumed today, giving it is an unmatched place in history."
Flowering Dogwood,"A deciduous tree native to eastern North America and northern Mexico. It has been used to treat dogs with mange, which may be how it got its name."
Horsechestnut Tree,"A deciduous tree native to southeastern Europe. People used to mistakenly feed its fruit to horses to make them feel better, without knowing that the fruit is highly toxic."
Horsechestnut,"A deciduous tree native to southeastern Europe. People used to mistakenly feed its fruit to horses to make them feel better, without knowing that the fruit is highly toxic."
Eastern Arborvitae,"An evergreen coniferous native to eastern North America. Arborvitae is a Latin form of the French for ‘tree of life’, as it was commonly used in early medicine."
Black Locust,"A deciduous tree native to eastern North America, Europe, and southern Asia. It is used for erosion control as it is a fasting growing and generally tough tree."
Scotch Pine,"An evergreen coniferous native to Europe and Asia. It was one of the first trees introduced to North America, in about 1600, but considered invasive in some areas."
American Elm,"A deciduous tree native to eastern North America. Its flowers appear before its leaves, usually at the end of winter or in early spring."
American Hornbeam,A deciduous tree native to eastern North America. Beavers will use the wood of this tree for the construction of dams on rivers.
Norway Spruce,"An evergreen coniferous tree native to northern, central, and eastern Europe. It grew in Eurasia and the Black Forest before it was brought to Norway in 500 B.C."
Swamp White Oak,"A deciduous tree native to northeastern North America. It is a great choice for a shade or street tree, with its tolerance to compacted soil and (perhaps surprisingly) drought."
Gray Birch,"A deciduous tree native to eastern North America. Although it has a thin white bark that can be confused with that of the Paper Birch, it does not readily exfoliate."
Pagoda Dogwood,"A deciduous tree native to eastern North America. In the UK, it has been awarded the Royal Horticultural Society’s Award of Garden Merit."
